Gate,VOL,Trans,Cap,Tphl,Tplh
010,0.72,150,30.00,0.1165,0.07668
010,0.63,200,2.88,0.05555,0.02972
010,0.74,200,150.00,0.356,0.2536
010,0.66,150,11.52,0.07934,0.04855
010,0.67,70,23.04,0.07839,0.05398
010,0.67,120,92.16,0.2442,0.1694
010,0.75,250,23.04,0.121,0.07306
010,0.67,350,23.04,0.1639,0.09859
010,0.6,70,30.00,0.1071,0.07172
010,0.74,10,11.52,0.02782,0.01992
010,0.75,10,2.88,0.01152,0.00795
010,0.79,50,92.16,0.1794,0.1352
010,0.76,20,7.00,0.02247,0.01563
010,0.61,30,23.04,0.07161,0.04823
010,0.73,70,7.00,0.03894,0.02398
010,0.62,90,7.00,0.0534,0.0328
010,0.76,10,7.00,0.01882,0.01344
010,0.75,300,11.52,0.09321,0.04837
010,0.69,30,150.00,0.3155,0.2272
010,0.69,50,150.00,0.3257,0.2304
010,0.68,200,184.32,0.4612,0.3242
010,0.78,10,23.04,0.04688,0.03471
010,0.78,30,30.00,0.06602,0.04812
010,0.77,50,2.88,0.02146,0.01188
010,0.78,20,11.52,0.02999,0.02133
010,0.6,150,150.00,0.4488,0.2956
010,0.79,20,150.00,0.2691,0.2039
010,0.8,50,5.76,0.02769,0.01689
010,0.75,50,2.88,0.02179,0.01252
010,0.62,70,5.76,0.04344,0.02678
010,0.6,30,7.00,0.0329,0.02222
010,0.64,350,7.00,0.1024,0.05617
010,0.78,300,11.52,0.08893,0.04321
010,0.73,20,11.52,0.03174,0.02245
010,0.75,20,150.00,0.2838,0.2115
010,0.62,200,30.00,0.154,0.09981
010,0.76,30,5.76,0.02369,0.01562
010,0.74,150,7.00,0.05432,0.02965
010,0.75,20,46.08,0.09435,0.06884
010,0.76,150,184.32,0.3864,0.2825
010,0.72,10,46.08,0.09526,0.06871
010,0.63,90,150.00,0.3879,0.2647
010,0.66,200,23.04,0.1271,0.08025
010,0.77,300,5.76,0.06694,0.02542
010,0.68,50,11.52,0.04585,0.03092
010,0.72,90,11.52,0.05649,0.03568
010,0.61,350,46.08,0.255,0.1631
010,0.61,150,2.88,0.05045,0.0285
010,0.71,350,2.88,0.06179,0.02119
010,0.69,90,7.00,0.04676,0.02846
010,0.6,30,184.32,0.4743,0.3193
010,0.72,300,7.00,0.079,0.03834
010,0.68,120,7.00,0.05454,0.0324
010,0.69,200,2.88,0.04771,0.02243
010,0.73,30,5.76,0.02446,0.01632
010,0.7,10,23.04,0.05259,0.03729
010,0.64,50,23.04,0.07455,0.05106
010,0.66,150,2.88,0.04377,0.02362
010,0.78,250,46.08,0.1702,0.1094
010,0.79,350,2.88,0.05606,0.00815
010,0.76,350,30.00,0.1595,0.09453
010,0.75,10,30.00,0.06152,0.0448
010,0.71,120,11.52,0.06533,0.04019
010,0.74,120,184.32,0.39,0.2848
010,0.77,300,92.16,0.2746,0.1891
010,0.65,200,2.88,0.05242,0.0272
010,0.65,300,11.52,0.1141,0.06662
010,0.74,250,5.76,0.06338,0.02931
010,0.69,350,184.32,0.5099,0.3528
010,0.74,350,30.00,0.1651,0.09876
010,0.75,30,184.32,0.3454,0.2601
010,0.65,200,46.08,0.1831,0.123
010,0.67,350,5.76,0.08734,0.04424
010,0.65,30,7.00,0.02985,0.02043
010,0.66,70,184.32,0.4228,0.2974
010,0.78,20,7.00,0.02205,0.01527
010,0.68,250,184.32,0.4754,0.3359
010,0.67,300,150.00,0.436,0.3003
010,0.78,250,5.76,0.06013,0.02395
010,0.72,350,7.00,0.08518,0.03977
010,0.62,200,11.52,0.0996,0.06003
010,0.73,30,30.00,0.06989,0.05043
010,0.78,50,92.16,0.1817,0.1362
010,0.72,30,2.88,0.01829,0.01144
010,0.68,250,7.00,0.07859,0.04258
010,0.75,350,184.32,0.4672,0.3302
010,0.76,250,2.88,0.04785,0.01447
010,0.63,50,7.00,0.0389,0.02533
010,0.72,250,2.88,0.05089,0.01941
010,0.78,50,7.00,0.03126,0.01977
010,0.7,250,7.00,0.07487,0.03951
010,0.79,250,92.16,0.2518,0.175
010,0.8,250,150.00,0.3479,0.2492
010,0.68,200,150.00,0.3884,0.2721
010,0.74,10,92.16,0.178,0.1318
010,0.78,300,46.08,0.1834,0.116
010,0.8,50,46.08,0.09903,0.0725
010,0.66,150,46.08,0.1606,0.11
010,0.6,50,46.08,0.1401,0.09324
010,0.68,350,184.32,0.5182,0.3592
010,0.63,90,5.76,0.04839,0.02922
010,0.77,150,5.76,0.04707,0.02357
010,0.63,300,23.04,0.1644,0.1008
010,0.71,90,7.00,0.0452,0.02726
010,0.69,150,92.16,0.2467,0.1719
010,0.76,30,150.00,0.2855,0.2108
010,0.72,20,5.76,0.02111,0.01467
010,0.75,50,46.08,0.1048,0.07577
010,0.67,200,150.00,0.3948,0.2749
010,0.6,200,11.52,0.1038,0.06274
010,0.77,150,2.88,0.03611,0.01399
010,0.67,20,150.00,0.3242,0.23
010,0.76,70,30.00,0.08197,0.05762
010,0.74,20,150.00,0.2879,0.2134
010,0.65,150,150.00,0.3914,0.2707
010,0.77,150,23.04,0.09452,0.05998
010,0.7,300,23.04,0.1437,0.08683
010,0.65,350,7.00,0.09979,0.05403
010,0.74,70,2.88,0.02609,0.01404
010,0.62,150,184.32,0.5042,0.3383
010,0.71,200,150.00,0.3708,0.2623
010,0.8,250,23.04,0.113,0.06507
010,0.69,10,5.76,0.01822,0.01273
010,0.76,150,23.04,0.09588,0.06096
010,0.73,10,184.32,0.352,0.2585
010,0.66,120,184.32,0.4459,0.3089
010,0.79,10,5.76,0.01601,0.0114
010,0.78,10,30.00,0.05932,0.04389
010,0.7,70,184.32,0.3922,0.2822
010,0.66,20,46.08,0.1094,0.07634
010,0.72,200,184.32,0.428,0.3091
010,0.8,90,23.04,0.07366,0.04937
010,0.63,200,5.76,0.07275,0.0416
010,0.75,20,7.00,0.02272,0.01585
010,0.63,150,2.88,0.04763,0.02646
010,0.78,350,23.04,0.1347,0.07487
010,0.78,350,2.88,0.05608,0.0097
010,0.7,120,2.88,0.03633,0.01877
010,0.6,10,2.88,0.01462,0.00983
010,0.71,20,92.16,0.1915,0.1362
010,0.6,120,11.52,0.07945,0.04969
010,0.8,300,92.16,0.2661,0.181
010,0.72,300,30.00,0.1584,0.09772
010,0.75,200,11.52,0.077,0.04325
010,0.67,50,11.52,0.04648,0.03138
010,0.62,10,23.04,0.06212,0.04187
010,0.76,10,184.32,0.3377,0.2535
010,0.8,70,2.88,0.02376,0.01151
010,0.62,120,184.32,0.4856,0.3296
010,0.62,300,5.76,0.09161,0.05134
010,0.78,350,46.08,0.1964,0.121
010,0.66,30,5.76,0.02668,0.01809
010,0.67,10,11.52,0.03097,0.02161
010,0.75,300,46.08,0.1913,0.1217
010,0.71,20,23.04,0.0548,0.03918
010,0.62,200,5.76,0.07409,0.04282
010,0.74,250,92.16,0.2655,0.1855
010,0.78,30,23.04,0.05358,0.039
010,0.71,30,11.52,0.0362,0.02548
010,0.8,150,2.88,0.0345,0.01166
010,0.72,70,2.88,0.02721,0.01494
010,0.74,90,46.08,0.1212,0.08562
010,0.76,50,23.04,0.06221,0.04379
010,0.75,120,23.04,0.08822,0.05754
010,0.7,150,7.00,0.05831,0.03343
010,0.69,30,92.16,0.202,0.1422
010,0.66,120,11.52,0.07105,0.04433
010,0.67,90,92.16,0.234,0.1612
010,0.76,350,92.16,0.2961,0.2
010,0.79,120,5.76,0.04101,0.02106
010,0.73,300,92.16,0.2879,0.1981
010,0.7,10,30.00,0.06582,0.04715
010,0.69,300,23.04,0.1457,0.08879
010,0.74,10,30.00,0.06233,0.0451
010,0.68,10,7.00,0.02106,0.0147
010,0.66,120,92.16,0.2494,0.1718
010,0.67,10,5.76,0.01884,0.01307
010,0.69,300,5.76,0.07743,0.03847
010,0.63,20,184.32,0.4337,0.2993
010,0.65,10,92.16,0.212,0.1472
010,0.67,30,5.76,0.02629,0.01782
010,0.6,10,30.00,0.0834,0.05571
010,0.65,30,30.00,0.08039,0.05569
010,0.7,70,7.00,0.04087,0.02544
010,0.68,350,150.00,0.4463,0.3094
010,0.75,120,46.08,0.1311,0.09146
010,0.62,300,30.00,0.1902,0.1183
010,0.77,30,46.08,0.09535,0.07001
010,0.72,10,92.16,0.1832,0.133
010,0.71,50,150.00,0.3135,0.226
010,0.79,250,7.00,0.06435,0.02693
010,0.68,70,2.88,0.02909,0.01677
010,0.8,10,92.16,0.166,0.1253
010,0.6,200,2.88,0.06054,0.03361
010,0.7,20,30.00,0.06975,0.04962
010,0.73,50,92.16,0.1949,0.1413
010,0.69,90,30.00,0.09777,0.06772
010,0.7,10,11.52,0.02934,0.02082
010,0.68,90,92.16,0.2294,0.1595
010,0.76,200,2.88,0.04222,0.0148
010,0.67,150,11.52,0.07786,0.04756
010,0.67,150,7.00,0.06204,0.03633
010,0.65,90,30.00,0.1042,0.07149
010,0.78,70,184.32,0.3463,0.262
010,0.71,200,184.32,0.4365,0.3123
010,0.69,250,30.00,0.1538,0.09676
010,0.6,30,46.08,0.1327,0.08808
010,0.61,250,11.52,0.1143,0.06819
010,0.75,50,11.52,0.04203,0.02822
010,0.7,120,11.52,0.06639,0.04105
010,0.67,250,2.88,0.05615,0.02633
010,0.73,150,150.00,0.3428,0.2447
010,0.77,300,2.88,0.05227,0.0124
010,0.6,20,184.32,0.4726,0.315
010,0.69,10,11.52,0.02985,0.02107
010,0.7,250,150.00,0.3963,0.2766
010,0.74,20,92.16,0.1827,0.135
010,0.67,120,23.04,0.09784,0.06495
010,0.75,350,23.04,0.1412,0.08105
010,0.66,90,30.00,0.1024,0.07046
